stop_loss,take_profit,total_trades,wins,losses,win_rate,net_pips,avg_win,avg_loss,profit_factor,largest_win,largest_loss
5,10,5,2,3,40.0,9.500000000000064,9.999999999998899,-3.4999999999992446,1.9047619047621063,9.999999999998899,-4.999999999999449
5,15,5,2,3,40.0,14.100000000001334,12.299999999999534,-3.4999999999992446,2.34285714285756,15.000000000000568,-4.999999999999449
5,20,5,2,3,40.0,19.100000000000783,14.799999999999258,-3.4999999999992446,2.8190476190480864,20.000000000000018,-4.999999999999449
5,25,5,2,3,40.0,24.10000000000023,17.29999999999898,-3.4999999999992446,3.2952380952386124,24.999999999999467,-4.999999999999449
10,10,5,3,2,60.0,19.499999999998963,9.999999999998899,-5.249999999998867,2.857142857143159,9.999999999998899,-9.999999999998899
10,15,5,3,2,60.0,29.100000000001902,13.19999999999988,-5.249999999998867,3.771428571429351,15.000000000000568,-9.999999999998899
10,20,5,3,2,60.0,39.100000000000804,16.533333333332845,-5.249999999998867,4.723809523810403,20.000000000000018,-9.999999999998899
10,25,5,3,2,60.0,49.099999999999696,19.86666666666581,-5.249999999998867,5.676190476191457,24.999999999999467,-9.999999999998899
15,10,5,3,2,60.0,14.499999999997293,9.999999999998899,-7.749999999999702,1.9354838709676032,9.999999999998899,-15.000000000000568
15,15,5,3,2,60.0,24.100000000000232,13.19999999999988,-7.749999999999702,2.5548387096774943,15.000000000000568,-15.000000000000568
15,20,5,3,2,60.0,34.09999999999913,16.533333333332845,-7.749999999999702,3.2000000000000286,20.000000000000018,-15.000000000000568
15,25,5,3,2,60.0,44.099999999998026,19.86666666666581,-7.749999999999702,3.845161290322563,24.999999999999467,-15.000000000000568
20,10,5,3,2,60.0,9.499999999997844,9.999999999998899,-10.249999999999426,1.4634146341462622,9.999999999998899,-20.000000000000018
20,15,5,3,2,60.0,19.100000000000783,13.19999999999988,-10.249999999999426,1.9317073170732613,15.000000000000568,-20.000000000000018
20,20,5,3,2,60.0,29.09999999999968,16.533333333332845,-10.249999999999426,2.419512195122015,20.000000000000018,-20.000000000000018
20,25,5,3,2,60.0,39.09999999999857,19.86666666666581,-10.249999999999426,2.907317073170769,24.999999999999467,-20.000000000000018
